aX,aY,aZ,gX,gY,gZ
-9.768,-8.068,23.090,0.230,-0.218,0.842
-9.855,-8.356,23.918,0.291,-0.162,0.884
-10.171,-8.667,24.703,0.372,-0.089,0.897
-10.865,-9.184,25.426,0.486,-0.033,0.901
-11.655,-9.754,25.968,0.647,-0.001,0.918
-12.440,-10.218,26.188,0.835,0.000,0.937
-13.317,-10.669,26.202,1.032,-0.041,0.970
-14.193,-11.186,26.154,1.237,-0.130,1.028
-15.007,-11.847,25.991,1.496,-0.281,1.129
-15.371,-12.378,25.666,1.755,-0.447,1.219
-15.519,-12.785,25.053,2.036,-0.630,1.301
-15.534,-13.039,24.157,2.318,-0.814,1.380
-15.428,-13.139,22.932,2.587,-0.985,1.469
-14.969,-12.933,21.170,2.870,-1.166,1.590
-14.222,-12.570,19.441,3.075,-1.304,1.699
-13.202,-12.134,17.703,3.251,-1.402,1.788
-12.177,-11.727,15.950,3.416,-1.464,1.842
-11.229,-11.267,14.131,3.563,-1.475,1.871
-10.333,-10.640,11.918,3.713,-1.440,1.891
